Scorecard,Team 1,Team 2,Winner,Margin,Ground,Match Date
1,Australia,England,Australia,5 wickets,Melbourne,5-Jan-71
2,England,Australia,England,6 wickets,Manchester,24-Aug-72
3,England,Australia,Australia,5 wickets,Lord's,26-Aug-72
4,England,Australia,England,2 wickets,Birmingham,28-Aug-72
5,New Zealand,Pakistan,New Zealand,22 runs,Christchurch,11-Feb-73
6,England,New Zealand,England,7 wickets,Swansea,18-Jul-73
7,England,New Zealand,no result,,Manchester,20-Jul-73
8,England,West Indies,England,1 wicket,Leeds,5-Sep-73
9,England,West Indies,West Indies,8 wickets,The Oval,7-Sep-73
10,New Zealand,Australia,Australia,7 wickets,Dunedin,30-Mar-74
11,New Zealand,Australia,Australia,31 runs,Christchurch,31-Mar-74
12,England,India,England,4 wickets,Leeds,13-Jul-74
13,England,India,England,6 wickets,The Oval,"Jul 15-16, 1974"
14,England,Pakistan,Pakistan,7 wickets,Nottingham,31-Aug-74
15,England,Pakistan,Pakistan,8 wickets,Birmingham,3-Sep-74
16,Australia,England,England,3 wickets,Melbourne,1-Jan-75
17,New Zealand,England,no result,,Dunedin,8-Mar-75
18,New Zealand,England,no result,,Wellington,9-Mar-75
19,England,India,England,202 runs,Lord's,7-Jun-75
20,East Africa,New Zealand,New Zealand,181 runs,Birmingham,7-Jun-75
21,Australia,Pakistan,Australia,73 runs,Leeds,7-Jun-75
22,Sri Lanka,West Indies,West Indies,9 wickets,Manchester,7-Jun-75
23,England,New Zealand,England,80 runs,Nottingham,11-Jun-75
24,East Africa,India,India,10 wickets,Leeds,11-Jun-75
25,Australia,Sri Lanka,Australia,52 runs,The Oval,11-Jun-75
26,Pakistan,West Indies,West Indies,1 wicket,Birmingham,11-Jun-75
27,England,East Africa,England,196 runs,Birmingham,14-Jun-75
28,India,New Zealand,New Zealand,4 wickets,Manchester,14-Jun-75
29,Australia,West Indies,West Indies,7 wickets,The Oval,14-Jun-75
30,Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,14-Jun-75
31,England,Australia,Australia,4 wickets,Leeds,18-Jun-75
32,New Zealand,West Indies,West Indies,5 wickets,The Oval,18-Jun-75
33,Australia,West Indies,West Indies,17 runs,Lord's,21-Jun-75
34,Australia,West Indies,Australia,5 wickets,Adelaide,20-Dec-75
35,New Zealand,India,New Zealand,9 wickets,Christchurch,21-Feb-76
36,New Zealand,India,New Zealand,80 runs,Auckland,22-Feb-76
37,England,West Indies,West Indies,6 wickets,Scarborough,26-Aug-76
38,England,West Indies,West Indies,36 runs,Lord's,"Aug 28-29, 1976"
39,England,West Indies,West Indies,50 runs,Birmingham,"Aug 30-31, 1976"
40,Pakistan,New Zealand,New Zealand,1 run,Sialkot,16-Oct-76
41,West Indies,Pakistan,West Indies,4 wickets,,16-Mar-77
42,England,Australia,England,2 wickets,Manchester,2-Jun-77
43,England,Australia,England,101 runs,Birmingham,4-Jun-77
44,England,Australia,Australia,2 wickets,The Oval,6-Jun-77
45,Pakistan,England,England,3 wickets,Sahiwal,23-Dec-77
46,Pakistan,England,England,6 wickets,Sialkot,30-Dec-77
47,Pakistan,England,Pakistan,36 runs,Lahore,13-Jan-78
48,West Indies,Australia,West Indies,44 runs,St John's,22-Feb-78
49,West Indies,Australia,Australia,2 wickets,Castries,12-Apr-78
50,England,Pakistan,England,132 runs,Manchester,"May 24-25, 1978"
51,England,Pakistan,England,94 runs,The Oval,26-May-78
52,England,New Zealand,England,19 runs,Scarborough,15-Jul-78
53,England,New Zealand,England,126 runs,Manchester,17-Jul-78
54,Pakistan,India,India,4 runs,Quetta,1-Oct-78
55,Pakistan,India,Pakistan,8 wickets,Sialkot,13-Oct-78
56,Pakistan,India,Pakistan,,Sahiwal,3-Nov-78
57,Australia,England,no result,,Sydney,13-Jan-79
58,Australia,England,England,7 wickets,Melbourne,24-Jan-79
59,Australia,England,Australia,4 wickets,Melbourne,4-Feb-79
60,Australia,England,Australia,6 wickets,Melbourne,7-Feb-79
61,India,West Indies,West Indies,9 wickets,Birmingham,9-Jun-79
62,New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,9-Jun-79
63,England,Australia,England,6 wickets,Lord's,9-Jun-79
64,Canada,Pakistan,Pakistan,8 wickets,Leeds,9-Jun-79
65,India,New Zealand,New Zealand,8 wickets,Leeds,13-Jun-79
66,Australia,Pakistan,Pakistan,89 runs,,"Jun 13-14, 1979"
67,England,Canada,England,8 wickets,Manchester,"Jun 13-14, 1979"
68,India,Sri Lanka,Sri Lanka,47 runs,Manchester,"Jun 16-18, 1979"
69,New Zealand,West Indies,West Indies,32 runs,Nottingham,16-Jun-79
70,Australia,Canada,Australia,7 wickets,Birmingham,16-Jun-79
71,England,Pakistan,England,14 runs,Leeds,16-Jun-79
72,England,New Zealand,England,9 runs,Manchester,20-Jun-79
73,Pakistan,West Indies,West Indies,43 runs,The Oval,20-Jun-79
74,England,West Indies,West Indies,92 runs,Lord's,23-Jun-79
75,Australia,West Indies,Australia,5 wickets,Sydney,27-Nov-79
76,England,West Indies,England,2 runs,Sydney,28-Nov-79
77,Australia,England,England,3 wickets,Melbourne,8-Dec-79
78,Australia,West Indies,West Indies,80 runs,Melbourne,9-Dec-79
